"Table  1
The  experimental  data  of  rms  charge  radii  for  236  nuclei.",,,,,,,,,
Z,symbol,N,A,δ(r 2 ) (fm2 ),Δδ(r 2 ) (fm2 ),rc  (fm),Δrc  (fm),In  Ref.  [1],
4,Be,3,7,0.66,0.06,2.6468,0.0161,Yes,
4,Be,5,9,0,–,2.5190,0.0120,Yes,
4,Be,6,10,—0.77,0.05,2.3612,0.0166,Yes,
4,Be,7,11,—0.26,0.04,2.4669,0.0147,Yes,
4,Be,8,12,—0.08,0.05,2.5031,0.0157,No,
12,Mg,9,21,0.176,0.068,3.0629,0.0114,No,
12,Mg,10,22,0.214,0.052,3.0691,0.0089,No,
12,Mg,11,23,0.053,0.035,3.0427,0.0063,No,
12,Mg,12,24,0.140,0.026,3.0570,0.0050,Yes,
12,Mg,13,25,—0.030,0.012,3.0291,0.0033,Yes,
12,Mg,14,26,0,–,3.0340,0.0026,Yes,
12,Mg,15,27,—0.008,0.011,3.0327,0.0031,No,
12,Mg,16,28,0.216,0.029,3.0694,0.0054,No,
12,Mg,17,29,0.256,0.037,3.0759,0.0065,No,
12,Mg,18,30,0.473,0.057,3.1110,0.0095,No,
12,Mg,19,31,0.710,0.081,3.1488,0.0131,No,
12,Mg,20,32,0.948,0.102,3.1864,0.0162,No,
19,K,17,36,—0.16,0.10,3.4115,0.0148,No,
19,K,18,37,—0.08,0.07,3.4232,0.0104,No,
19,K,19,38,—0.089,0.025,3.4219,0.0041,Yes,
19,K,20,39,0,–,3.4349,0.0019,Yes,
19,K,21,40,0.016,0.023,3.4372,0.0038,Yes,
19,K,22,41,0.117,0.044,3.4519,0.0066,Yes,
19,K,23,42,0.111,0.065,3.4510,0.0096,Yes,
19,K,24,43,0.129,0.084,3.4536,0.0123,Yes,
19,K,25,44,0.122,0.102,3.4526,0.0149,Yes,
19,K,26,45,0.151,0.119,3.4568,0.0173,Yes,
19,K,27,46,0.092,0.136,3.4483,0.0198,Yes,
19,K,28,47,0.079,0.152,3.4464,0.0221,Yes,
19,K,29,48,0.264,0.168,3.4731,0.0243,No,
19,K,30,49,0.420,0.182,3.4955,0.0261,No,
19,K,31,50,0.513,0.197,3.5088,0.0281,No,
19,K,32,51,0.62,0.22,3.5240,0.0313,No,
20,Ca,16,36,—0.196,0.027,3.4493,0.0044,No,
20,Ca,17,37,—0.205,0.023,3.4480,0.0038,No,
20,Ca,18,38,—0.0797,0.0064,3.4661,0.0021,No,
20,Ca,19,39,—0.1060,0.0064,3.4623,0.0021,Yes,
20,Ca,20,40,0,–,3.4776,0.0019,Yes,
20,Ca,23,43,0.114,0.009,3.4940,0.0023,Yes,
20,Ca,24,44,0.288,0.007,3.5188,0.0021,Yes,
20,Ca,25,45,0.125,0.009,3.4955,0.0023,Yes,
